cluster ID,ADM2_TH,area_sqkm,days_ago,landcover_type,lat,lon,temperature_k
264,เมืองกาญจนบุรี,0.5419675625,8,forest/trees,14.2562635589768,99.2784365185741,333.720001220703
265,ศรีสวัสดิ์,1.352019890625,8,forest/trees,14.7430381535591,99.2784365185741,340.940002441406
266,ศรีสวัสดิ์,8.518607421875,7,forest/trees,14.7198851465338,99.2679294380188,350.859985351562
267,ศรีสวัสดิ์,1.218614765625,8,forest/trees,14.4095386043297,99.2992100595193,344.119995117188
268,เมืองกาญจนบุรี,1.896459546875,6,forest/trees,14.3082375147009,99.3020172947822,343.700012207031
269,ศรีสวัสดิ์,1.6246060625,8,forest/trees,14.4395760216424,99.3039823594662,344.950012207031
270,บ่อพลอย,2.300266484375,7,forest/trees,14.5639035174905,99.3009274269743,344.649993896484
271,ด่านมะขามเตี้ย,2.442814734375,4,forest/trees,13.8756024573312,99.3216679416223,367
272,เมืองกาญจนบุรี,0.81313453125,4,forest/trees,14.2040489830874,99.3244751768852,337.260009765625
273,เมืองกาญจนบุรี,2.844989078125,6,forest/trees,14.2839348779966,99.3279240659225,340.769989013672
274,เมืองกาญจนบุรี,1.35488734375,9,forest/trees,14.2616534506815,99.3313248309266,343.350006103516
